"id","atsqTotal"
1,2.42857142857143
3,2.05555555555556
4,2.02777777777778
5,3.83333333333333
6,2.48571428571429
7,2.94444444444444
8,2.55555555555556
10,3.44444444444444
11,2.36111111111111
12,3.97222222222222
13,2.08333333333333
14,2.47222222222222
15,3.47222222222222
16,3.44444444444444
17,2.22222222222222
18,3.38888888888889
19,3.36111111111111
20,4.33333333333333
21,2.97222222222222
22,3.69444444444444
23,4.05555555555556
24,2.47222222222222
25,3.02777777777778
27,2.91428571428571
28,3
29,2.94444444444444
30,2.36111111111111
31,2.22222222222222
32,3.13888888888889
33,3.31428571428571
34,3.22222222222222
35,2.33333333333333
36,2.63888888888889
37,3.69444444444444
38,3.38888888888889
39,3
40,4.22222222222222
41,3.22222222222222
42,3.08333333333333
43,2.94444444444444
44,2.52777777777778
45,3.33333333333333
46,3.22222222222222
47,3.38888888888889
48,2.66666666666667
49,2.5
50,2.75
51,2.52777777777778
52,4.27777777777778
53,1.69444444444444
54,2.44444444444444
55,3.11111111111111
56,3.38888888888889
57,3.02777777777778
58,2.33333333333333
59,3.38888888888889
60,3.5
61,3.44444444444444
62,3.47222222222222
63,2.91666666666667
64,3.62857142857143
65,2.66666666666667
66,2.69444444444444
67,2.97222222222222
68,2.47222222222222
69,3.33333333333333
70,3.08333333333333
71,2.63888888888889
72,3.34285714285714
73,4.19444444444444
74,3.16666666666667
75,3.19444444444444
76,2.41666666666667
77,2.83333333333333
78,2.77777777777778
79,3.52777777777778
80,3.08333333333333
81,4.27777777777778
82,3.16666666666667
83,3.61111111111111
84,4.05555555555556
85,3.27777777777778
86,1.97222222222222
87,2.38888888888889
88,2.72222222222222
89,2.97222222222222
90,2.44444444444444
91,3.33333333333333
92,3.47222222222222
93,3.58333333333333
94,4.27777777777778
95,3.55555555555556
96,3.94444444444444
97,4.66666666666667
98,3.47222222222222
99,3.13888888888889
100,2.91666666666667
101,2.5
102,2.91666666666667
103,5.36111111111111
104,3.22222222222222
105,3.02777777777778
106,2.75
107,3.41666666666667
108,3.19444444444444
109,2.75
110,4.08333333333333
111,3.52777777777778
112,2.58333333333333
113,3.61111111111111
114,2.72222222222222
115,3.69444444444444
116,2.61111111111111
117,3.22222222222222
118,2.44444444444444
119,3.19444444444444
120,3.83333333333333
121,3.29411764705882
122,3.11111111111111
123,3.5
124,2.63888888888889
125,3.22222222222222
126,2.16666666666667
127,1.83333333333333
128,2.61111111111111
129,3.25
130,3.63888888888889
131,2.63888888888889
132,1.80555555555556
133,2
134,2.36111111111111
135,2.91666666666667
136,4.13888888888889
137,3.27777777777778
138,3.38888888888889
139,3.27777777777778
140,2
141,3.30555555555556
142,3.45714285714286
143,4
144,3.05555555555556
145,2.86111111111111
146,3.44444444444444
147,3.11111111111111
148,3.02777777777778
149,2.52777777777778
150,3.11111111111111
151,2.66666666666667
152,3.02777777777778
153,2.72222222222222
154,2.27777777777778
155,2.80555555555556
156,4.37142857142857
157,3.61111111111111
158,3.44444444444444
159,2.4
160,3.94444444444444
161,3.30555555555556
162,3.75
163,3.44444444444444
164,4
165,3.66666666666667
166,2.11111111111111
167,3.08333333333333
168,3.11111111111111
169,3
170,3.88888888888889
171,3.91666666666667
172,3.82857142857143
173,3.08333333333333
174,4
175,2.58333333333333
176,2.41666666666667
177,2.22222222222222
178,3.38888888888889
179,3.02777777777778
180,2.77777777777778
181,2.82857142857143
182,3.11111111111111
183,3.47222222222222
184,2.55555555555556
185,2.75
186,3.52777777777778
187,2.52777777777778
188,3.72222222222222
189,2.75
190,3.44444444444444
191,3.75
192,4.11111111111111
193,3.47222222222222
194,4.38888888888889
195,2.86111111111111
196,3.55555555555556
197,2.52777777777778
198,3.63888888888889
199,3.13888888888889
200,2.72222222222222
201,3.61111111111111
202,3.19444444444444
203,4
204,3.55555555555556
205,3.05555555555556
206,3.19444444444444
207,4.19444444444444
208,2.11111111111111
209,2.97142857142857
210,3.22222222222222
211,2.94444444444444
212,2.94444444444444
213,3.27777777777778
214,3.13888888888889
215,3.13888888888889
216,2.74285714285714
217,2.5
218,2.55555555555556
219,2.72222222222222
220,4.30555555555556
221,3.30555555555556
222,3.97142857142857
223,3.5
224,3.61111111111111
225,3.69444444444444
226,4.74285714285714
227,3.11111111111111
228,3.38888888888889
229,3.75
230,3.5
231,3.30555555555556
232,2.91666666666667
233,2.80555555555556
234,3.36111111111111
235,3.88888888888889
236,3.36111111111111
237,3.36111111111111
238,3.11111111111111
239,3.36111111111111
240,4.13888888888889
241,3.33333333333333
242,3.5
243,1.75
244,3.02777777777778
245,2.80555555555556
246,3.41666666666667
247,3.77777777777778
248,3
249,2.5
250,2.63888888888889
251,2.25
252,2.19444444444444
253,3.11111111111111
254,3.66666666666667
255,2.25
256,2.83333333333333
257,2.52777777777778
258,2.86111111111111
259,2.33333333333333
260,4.02777777777778
261,4.11111111111111
262,3.02777777777778
263,2.41666666666667
264,3.02777777777778
265,2.33333333333333
266,3.19444444444444
267,3.38888888888889
268,3.36111111111111
269,3.86111111111111
271,2.80555555555556
272,2.83333333333333
273,3.19444444444444
274,4.13888888888889
275,3.19444444444444
276,2.19444444444444
277,2.22222222222222
278,3.47222222222222
279,3.25
280,3.47222222222222
281,1.91666666666667
282,3.19444444444444
283,3.44444444444444
284,3.44444444444444
285,3.61111111111111
286,2.75
287,2.77777777777778
288,3.05555555555556
289,2.44444444444444
290,2.66666666666667
291,2.5
292,3.19444444444444
293,3.28571428571429
294,3.63888888888889
295,3.25
296,3.63888888888889
297,3.19444444444444
298,3.41666666666667
299,3.52777777777778
300,3.75
301,2.77777777777778
302,5.38888888888889
303,2.5
304,1.97222222222222
305,4.02777777777778
306,2.83333333333333
307,3.41666666666667
308,3.55555555555556
309,3.25
310,2.75
311,2.08333333333333
312,3.66666666666667
313,2.38888888888889
314,3.44444444444444
315,3.02777777777778
316,1.94444444444444
317,4.08571428571429
318,4.25714285714286
319,2.72222222222222
320,3.63888888888889
322,3.08333333333333
323,3.13888888888889
324,3.52777777777778
326,3.69444444444444
328,2.44444444444444
329,1.47222222222222
330,3.02777777777778
331,3.97222222222222
333,5.13888888888889
334,2.88888888888889
336,3.5
337,3.22222222222222
339,4.94444444444444
340,4.5
348,2.88888888888889
